[2015-11-15 00:04:58]**********初始化USB模块成功**********

[2015-11-15 00:05:09]**********初始化相机成功**********

[2015-11-15 00:05:14]-----出洞-----

[2015-11-15 00:05:14]**********退出进出洞检测程序**********


[2015-11-15 10:28:19]**********初始化USB模块成功**********

[2015-11-15 10:28:30]**********初始化相机成功**********

[2015-11-15 10:28:51]**********退出进出洞检测程序**********


[2015-11-15 10:33:56]**********初始化USB模块成功**********

[2015-11-15 10:34:07]**********初始化相机成功**********

[2015-11-15 10:34:13]+++++进洞+++++

[2015-11-15 10:34:14]-----出洞-----

[2015-11-15 10:34:40]**********退出进出洞检测程序**********


[2015-11-15 20:32:33]**********初始化USB模块成功**********

[2015-11-15 20:32:46]**********初始化相机成功**********

[2015-11-15 20:32:59]**********工作模式为: 自动模式**********

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:17]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:18]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:19]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:20]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:21]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:22]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:23]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

[2015-11-15 20:33:24]-----出 洞-----

