[2015-11-16 20:59:45]**********初始化USB模块成功**********

[2015-11-16 20:59:56]**********初始化相机成功**********

[2015-11-16 20:59:56]**********工作模式为: 自动模式**********

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:57]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:58]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 20:59:59]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:00]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:01]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:03]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:04]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:05]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

[2015-11-16 21:00:06]-----出 洞-----

